Date,Time,Type,Broker,Currency,Exchage,Name,Ticker,Direction,Trade Status,Volume,Multiplier,Price,Cost,Abs(cost),过户费,Brokerage,印花税,Net Cost,Net Unit cost,CloseY,Current Cost,Unrealized PL,MTM,Unr/Delta,FullTicker
2016/12/5,1:12 PM,Stock,招商,CNY,SZ,东方财富,300059,B,C,1000,1,20.67,20670,20670,0,5,0,-20675,-20.675,12.94,12.83,-7845,-110,-38.00%,SZ300059
2016/12/5,1:19 PM,Stock,招商,CNY,SZ,美的集团,333,B,C,2000,1,28.5,57000,57000,0,11.4,0,-57011.4,-28.5057,40.85,39.64,22268.6,-2420,39.10%,SZ000333
2016/12/5,1:21 PM,Stock,招商,CNY,SZ,东方财富,300059,B,C,2000,1,20.81,41620,41620,0,8.32,0,-41628.32,-20.814162,12.94,12.83,-15968.32,-220,-38.40%,SZ300059
2016/12/5,2:04 PM,Stock,招商,CNY,SZ,苏宁云商,2024,B,C,5600,1,11.67,65352,65352,0,13.07,0,-65365.07,-11.672334,11.88,11.44,-1301.07,-2464,-2.00%,SZ002024
2016/12/6,10:08 AM,Stock,招商,CNY,SZ,潍柴动力,338,B,C,4000,1,11.18,44720,44720,0,8.94,0,-44728.94,-11.182236,6.92,6.63,-18208.94,-1160,-40.70%,SZ000338
2016/12/6,10:36 AM,Stock,招商,CNY,SZ,苏宁云商,2024,S,C,-5600,1,11.98,-67088,67088,0,13.42,67.09,67007.49,-11.96562364,11.88,11.44,2943.49,2464,4.40%,SZ002024
2016/12/7,1:54 PM,Stock,招商,CNY,SH,中国医药,600056,B,C,1000,1,19.04,19040,19040,0.38,5,0,-19045.38,-19.0453808,24.87,24.86,5814.62,-10,30.50%,SH600056
2016/12/7,2:00 PM,Stock,招商,CNY,SZ,华映科技,536,B,C,1500,1,14.65,21975,21975,0,5,0,-21980,-14.65333333,5.34,5.25,-14105,-135,-64.20%,SZ000536
2016/12/7,2:02 PM,Stock,招商,CNY,SZ,锡业股份,960,S,C,-2000,1,14.66,-29320,29320,0,5.86,29.32,29284.82,-14.642408,15.25,13.81,1664.82,2880,5.70%,SZ000960
2016/12/7,2:02 PM,Stock,招商,CNY,SH,伊利股份,600887,S,C,-6000,1,18.49,-110940,110940,2.22,22.19,110.94,110804.65,-18.4674422,23.06,22.39,-23535.35,4020,-21.20%,SH600887
2016/12/7,2:25 PM,Stock,招商,CNY,SZ,广发证券,776,S,C,-2000,1,18.4,-36800,36800,0,7.36,36.8,36755.84,-18.37792,17.42,16.92,2915.84,1000,7.90%,SZ000776
