V1	price
sz000031	7.13
sz000039	16.25
sz000046	8.49
sz000049	51
sz000050	16.73
sz000060	9.92
sz000061	8.85
sz000062	31.25
sz000063	19.38
sz000066	8.38
sz000069	8.75
sz000078	5.94
sz000089	9.04
sz000090	10.39
sz000156	14.56
sz000157	4.39
sz000158	15.68
sz000166	5.63
sz000333	35.67
sz000338	11.19
sz000400	16.31
sz000401	17.12
sz000402	11.74
sz000408	13.36
sz000413	10.14
sz000415	6.5
sz000417	8
sz000418	46.68
sz000423	66.04
sz000425	3.37
sz000426	7.88
sz000488	11.54
sz000501	15.95
sz000513	61.15
sz000517	4.48
sz000519	12.28
sz000528	7.82
sz000536	5.71
sz000538	88.8
sz000539	5.28
sz000540	6.37
sz000541	9.27
sz000543	5.53
sz000547	9.95
sz000550	19.49
sz000552	3.34
sz000555	16.52
sz000559	9.48
sz000563	4.73
sz000564	6.59
sz000566	13.54
sz000568	48.53
sz000572	5.1
sz000581	21.75
sz000587	14.91
sz000592	5.28
sz000596	47.89
sz000598	5.5
sz000600	13.36
sz000612	8
sz000616	4.27
sz000620	7.23
sz000623	28.1
sz000625	14.13
sz000626	15.81
sz000627	7.23
sz000630	2.69
sz000631	4.24
sz000636	8.34
sz000651	34.07
sz000652	5.69
sz000661	116.35
sz000662	16.22
sz000667	3.27
sz000669	15.86
sz000671	5.59
sz000680	5.31
sz000681	16.07
sz000685	10.71
sz000686	9.66
sz000690	5.86
sz000697	20.35
sz000703	13.61
sz000709	4.46
sz000712	15.27
sz000718	6.08
sz000723	12.53
sz000725	4.02
sz000726	11.84
sz000727	2.78
sz000728	12.25
sz000729	6.25
sz000732	16.11
sz000738	18.76
sz000750	5.28
sz000758	6.76
sz000761	4.71
sz000762	13.36
sz000768	17.21
sz000776	16.58
sz000777	20.48
sz000778	7.18
sz000783	9.25
sz000786	13.83
sz000792	14.16
sz000793	10.43
sz000800	9.55
sz000806	11.44
sz000810	10.95
sz000813	8.02
sz000816	7.12
sz000825	4.05
sz000826	33.51
sz000829	10.07
sz000830	6.14
sz000839	8.82
sz000848	10.02
sz000858	47.56
sz000860	18.39
sz000861	3.65
sz000869	33.86
sz000876	7.99
sz000877	11.03
sz000878	11.67
sz000883	4.8
sz000895	21.71
sz000897	5.02
sz000898	5.21
sz000917	11.07
sz000919	10.68
sz000926	12.05
sz000930	10.21
sz000931	8.16
sz000937	5.97
sz000938	52.45
sz000939	9.89
sz000959	6.69
sz000960	11.67
sz000961	6.63
sz000963	45.82
sz000969	8.2
sz000970	12.84
sz000973	7.29
sz000975	12.26
sz000977	17.64
sz000979	2.63
sz000983	7.74
sz000987	11.39
sz000988	13.56
sz000989	17.92
sz000997	19.99
sz000998	20.9
sz000999	29.45
sz001696	7.28
sz001979	19.83
sz002001	17.8
sz002002	7.36
sz002004	7.94
sz002007	35.38
sz002008	30.84
sz002010	16.04
sz002011	13.16
sz002018	6.66
sz002019	14.51
sz002022	17.88
sz002024	10.57
sz002027	12.57
sz002028	16.14
sz002029	9.9
sz002030	19.95
sz002032	36.14
sz002038	25.6
sz002041	12.22
sz002044	14.92
sz002048	19.8
sz002050	13.04
sz002051	24.61
sz002056	6.9
sz002063	10.26
sz002064	4.92
sz002065	21.41
sz002073	8.21
sz002074	25.85
sz002078	6.65
sz002081	10
sz002085	16.75
sz002092	10.78
sz002093	8.34
sz002106	9.74
sz002118	6.52
sz002123	11.45
sz002131	12.27
sz002142	18.15
sz002146	10.21
sz002147	15.18
sz002152	11.77
sz002153	20.8
sz002155	9.19
sz002161	7.87
sz002174	27.94
sz002176	8.6
sz002179	27.79
sz002180	24.7
sz002183	8.37
sz002190	25.21
sz002191	8.94
sz002194	8.95
sz002195	5.85
sz002202	14.73
sz002217	8.75
sz002219	12.13
sz002221	10.87
sz002223	22.12
sz002230	29.91
sz002233	11.91
sz002236	18.26
sz002238	12
sz002241	16.98
sz002242	18.53
sz002244	6.65
sz002249	6.37
sz002250	13.3
sz002251	12.21
sz002254	13.11
sz002261	11.72
sz002266	4.87
sz002268	28.33
sz002269	3.76
sz002271	32.37
sz002273	19.86
sz002276	10.02
sz002277	6.23
sz002281	22.05
sz002285	7.47
sz002292	14.82
sz002294	31.63
sz002299	12.83
sz002304	86.96
sz002308	12.15
sz002309	12.22
sz002310	16
sz002311	16.8
sz002315	25.4
sz002317	11.8
sz002325	6.34
sz002327	8.47
sz002332	7.67
sz002340	5.15
sz002342	11.69
sz002344	8.22
sz002345	9.82
sz002353	16.77
sz002354	20.9
sz002366	42.6
sz002368	26.96
sz002371	23.1
sz002373	14.73
sz002375	8.89
sz002384	24.11
sz002385	6.2
sz002390	9.6
sz002392	6.39
sz002400	11.17
sz002405	17
sz002407	19.34
sz002408	10
sz002410	17.8
sz002411	26.26
sz002414	17.41
sz002415	26.74
sz002416	9.98
sz002422	15.33
sz002424	17.11
sz002428	10.12
sz002431	12.09
sz002437	6.84
sz002439	17.89
sz002440	14.69
sz002444	14.91
sz002450	20.01
sz002456	38.58
sz002460	42.5
sz002463	4.31
sz002465	10.58
sz002466	44.94
sz002470	6.94
sz002475	27.6
sz002477	4.56
sz002479	11.69
sz002482	7.93
sz002489	6.41
sz002491	12.59
sz002493	9.29
sz002498	3.64
sz002500	9.24
sz002503	6.88
sz002506	4.17
sz002508	41.3
sz002512	14.82
sz002517	31.36
sz002544	23.22
sz002551	17.02
sz002555	23.55
sz002558	55
sz002563	8.56
sz002568	17.18
sz002572	36.96
sz002573	18.34
sz002581	22.04
sz002583	14.3
sz002588	7.56
sz002589	16.27
sz002594	49.11
sz002595	21.44
sz002601	14.58
sz002602	32.93
sz002603	16.55
sz002624	32.15
sz002640	18.6
sz002646	16.95
sz002657	28.4
sz002663	5.63
sz002665	8.74
sz002670	13.72
sz002672	16.68
sz002673	13.56
sz002681	12.64
sz002690	19.53
sz002698	11.9
sz002699	23.75
sz002701	6.52
sz002707	11.83
sz002714	24.08
sz002727	16.88
sz002736	13.17
sz002739	56.08
sz002745	31.04
sz002773	45.49
sz002797	8.99
sz002807	12.67
sz002815	31.16
sz300001	16.66
sz300002	8.32
sz300003	19.9
sz300010	13.06
sz300015	22.46
sz300017	11.16
sz300024	18.94
sz300026	4.4
sz300027	7.95
sz300032	13.88
sz300033	62.41
sz300039	7.21
sz300043	7.85
sz300055	18.54
sz300058	7.64
sz300059	11.6
sz300070	18.5
sz300072	35.02
sz300085	17.66
sz300113	26.38
sz300115	27.35
sz300116	9.46
sz300122	18.15
sz300124	22.48
sz300133	10.97
sz300136	35.03
sz300144	21.31
sz300146	11.59
sz300147	10.02
sz300159	15.8
sz300166	19
sz300182	9.88
sz300199	15.01
sz300202	16.76
sz300244	29.6
sz300251	8.13
sz300253	7.92
sz300257	18.86
sz300266	50.29
sz300273	13.3
sz300274	9.72
sz300287	9.11
sz300296	17.54
sz300297	10.91
sz300324	18.3
sz300383	12.12
sz300408	20.21
sz300418	22.48
sz300433	32.84
sz300459	10.93
sz300496	28.96
sz300498	23.69
sz300529	29.17
sz399001	9859.23
sz399006	1759.63
