V1		bench	correl
191	sh600521	华海药业	sh000905	0.573914140049074
192	sh600522	中天科技	sh000905	0.730262452429178
193	sh600525	长园集团	sh000905	0.635618882314966
194	sh600528	中铁工业	sh000001	0.636331637792033
195	sh600535	天士力	sh000905	0.50529143113048
196	sh600536	中国软件	sz399006	0.640033154171665
197	sh600537	亿晶光电	sh000905	0.664850791055493
198	sh600545	新疆城建	sh000905	0.637843434800887
199	sh600547	山东黄金	sh000001	0.463688744439729
200	sh600549	厦门钨业	sh000905	0.650224244780624
201	sh600551	时代出版	sh000905	0.709630132476096
202	sh600557	康缘药业	sh000905	0.632707971732291
203	sh600563	法拉电子	sh000905	0.676558275581703
204	sh600565	迪马股份	sh000905	0.606138928664976
205	sh600566	济川药业	sh000905	0.587498001146781
206	sh600570	恒生电子	sz399006	0.678002366967556
207	sh600572	康恩贝	sh000905	0.659628255104349
208	sh600575	皖江物流	sh000905	0.558924236429337
209	sh600578	京能电力	sh000001	0.662853777560525
210	sh600580	卧龙电气	sh000905	0.718222659832913
211	sh600582	天地科技	sh000905	0.674304338900453
212	sh600583	海油工程	sh000001	0.671941397397117
213	sh600584	长电科技	sh000905	0.679685615940063
214	sh600585	海螺水泥	sh000300	0.718709949520706
215	sh600586	金晶科技	sh000905	0.752365720969287
216	sh600587	新华医疗	sz399006	0.592525225338909
217	sh600588	用友网络	sz399006	0.649113445383173
218	sh600594	益佰制药	sz399006	0.642923748917165
219	sh600596	新安股份	sh000905	0.693345990777223
220	sh600597	光明乳业	sh000905	0.603538392033473
221	sh600600	青岛啤酒	sh000300	0.606000886856188
222	sh600601	方正科技	sh000905	0.729965483351626
223	sh600606	绿地控股	sh000905	0.618104917656365
224	sh600611	大众交通	sh000905	0.712905514632939
225	sh600612	老凤祥	sh000905	0.514512754348497
226	sh600614	鹏起科技	sh000905	0.522770131626838
227	sh600618	氯碱化工	sh000905	0.661205900000937
228	sh600623	华谊集团	sh000905	0.620358616732674
229	sh600628	新世界	sh000905	0.692366248537848
230	sh600633	浙数文化	sz399006	0.49863650836491
231	sh600635	大众公用	sh000905	0.736607816647637
232	sh600637	东方明珠	sh000905	0.615292173599956
233	sh600639	浦东金桥	sh000905	0.623485595359134
234	sh600640	号百控股	sh000905	0.633513571168319
235	sh600642	申能股份	sh000001	0.756399464761961
236	sh600643	爱建集团	sh000001	0.635756432248217
237	sh600645	中源协和	sh000905	0.508479176089367
238	sh600648	外高桥	sh000905	0.633723743044821
239	sh600649	城投控股	sz399001	0.575883258562137
240	sh600651	飞乐音响	sh000905	0.690374501833341
241	sh600654	中安消	sh000905	0.575502547775973
242	sh600655	豫园商城	sh000905	0.706824212011462
243	sh600657	信达地产	sz399001	0.707296475187659
244	sh600660	福耀玻璃	sh000300	0.700948255526522
245	sh600663	陆家嘴	sh000001	0.600365625158883
246	sh600664	哈药股份	sh000905	0.683493421926314
247	sh600666	奥瑞德	sh000905	0.603376033389135
248	sh600673	东阳光科	sh000905	0.667357353345403
249	sh600674	川投能源	sh000300	0.653333358789441
250	sh600682	南京新百	sh000905	0.573003027845063
251	sh600685	中船防务	sh000905	0.637986077887294
252	sh600687	刚泰控股	sh000905	0.511952670560289
253	sh600688	上海石化	sh000001	0.572360478794328
254	sh600690	青岛海尔	sh000300	0.639075675323915
255	sh600694	大商股份	sh000905	0.625929818439025
256	sh600699	均胜电子	sh000905	0.621997420616932
257	sh600703	三安光电	sh000905	0.583024232855791
258	sh600704	物产中大	sh000905	0.698049924200846
259	sh600705	中航资本	sh000001	0.273264414761529
260	sh600715	文投控股	sh000905	0.454094341024989
261	sh600717	天津港	sh000001	0.650941473052396
262	sh600718	东软集团	sh000905	0.712734751058211
263	sh600720	祁连山	sz399001	0.707320915966503
264	sh600729	重庆百货	sh000905	0.62793799822417
265	sh600736	苏州高新	sh000905	0.68010291418259
266	sh600737	中粮糖业	sh000905	0.640731800177015
267	sh600739	辽宁成大	sh000300	0.714170205653002
268	sh600741	华域汽车	sh000300	0.70697471204998
269	sh600743	华远地产	sz399001	0.639400300291098
270	sh600748	上实发展	sz399001	0.676588995659088
271	sh600750	江中药业	sh000905	0.565509771578761
272	sh600751	天海投资	sh000905	0.473457264780024
273	sh600754	锦江股份	sh000905	0.571484917410194
274	sh600755	厦门国贸	sh000905	0.708843792474652
275	sh600757	长江传媒	sh000905	0.699264273295721
276	sh600758	红阳能源	sh000905	0.668133234060062
277	sh600759	洲际油气	sh000905	0.545363169618486
278	sh600765	中航重机	sh000905	0.68592435983524
279	sh600770	综艺股份	sh000905	0.711650360858316
280	sh600773	西藏城投	sh000905	0.650253038334602
281	sh600776	东方通信	sh000905	0.699146375506559
282	sh600783	鲁信创投	sh000905	0.679076161341079
283	sh600787	中储股份	sh000905	0.704877801880017
284	sh600790	轻纺城	sh000905	0.702341022271637
285	sh600795	国电电力	sh000001	0.676638353990097
