V1	cummax	cummin	C	perc	potential
sz002304	113.88	103.8	111.44	0.757936507936508	-0.0233309404163675
sz002308	10.17	9.62	9.69	0.127272727272728	0.0211558307533539
sz002310	20.81	19.85	19.93	0.0833333333333318	0.0200702458605118
sz002311	25.8	24.28	24.75	0.309210526315789	0.0117171717171718
sz002340	7.55	7.03	7.09	0.115384615384615	0.0282087447108603
sz002352	49.88	48.6	48.83	0.179687499999997	0.00839647757526119
sz002353	15.85	14.6	15.3	0.560000000000001	-0.00490196078431382
sz002354	17.34	15.98	16.07	0.0661764705882352	0.0367143746110765
sz002358	18.1	17.06	18.06	0.961538461538459	-0.0265780730897011
sz002359	27.15	26.24	26.77	0.582417582417584	-0.00280164363093016
sz002366	26.45	26.45	26.45	NA	0
sz002371	47.94	43.07	44.5	0.293634496919918	0.0225842696629213
sz002372	21.4	20.32	21.18	0.796296296296297	-0.0151085930122757
sz002373	16.85	15.39	15.46	0.0479452054794522	0.0426908150064682
sz002375	6.98	6.58	6.64	0.149999999999999	0.0210843373493976
sz002384	25.99	25.99	25.99	NA	0
sz002385	6.01	5.71	5.99	0.933333333333335	-0.0217028380634392
sz002389	19.15	18.03	18.62	0.526785714285715	-0.00161117078410322
sz002390	9.3	8.66	9	0.531249999999999	-0.00222222222222213
sz002396	25.55	23.03	23.13	0.0396825396825388	0.050151318633809
sz002399	17.35	16.7	16.91	0.323076923076923	0.0068007096392666
sz002400	4.77	4.53	4.55	0.0833333333333318	0.0219780219780221
sz002405	27.14	24.58	25	0.164062500000001	0.0344
sz002407	17.76	16.81	16.9	0.0947368421052627	0.0227810650887574
sz002408	13.96	13	13.54	0.562499999999999	-0.00443131462333812
sz002410	26.74	24.54	24.79	0.113636363636364	0.0342880193626462
sz002411	25.96	25.43	25.84	0.773584905660376	-0.00561145510835914
sz002413	8.54	8.54	8.54	NA	0
sz002414	16.69	15.91	16.27	0.46153846153846	0.0018438844499078
sz002415	42	40.39	41.1	0.440993788819876	0.00231143552311441
sz002419	20.69	19.19	19.19	0	0.0390828556539864
sz002421	5.46	5.27	5.33	0.315789473684213	0.00656660412757981
sz002422	33.18	30.49	30.52	0.0111524163568777	0.0430865006553081
sz002424	15.07	14.29	14.43	0.17948717948718	0.0173250173250172
sz002426	5.19	4.88	4.89	0.0322580645161283	0.0296523517382414
sz002429	3.31	3.13	3.14	0.0555555555555568	0.0254777070063692
sz002431	7.76	7.34	7.36	0.0476190476190487	0.0258152173913042
sz002434	8.47	8.17	8.18	0.0333333333333325	0.0171149144254279
sz002437	5.69	5.69	5.69	NA	0
sz002439	28.73	26.16	26.36	0.0778210116731515	0.0411608497723823
sz002440	21.94	20.53	20.76	0.163120567375887	0.0228805394990366
sz002444	12.08	11.06	11.18	0.117647058823529	0.0348837209302326
sz002445	12.7	12.11	12.6	0.830508474576272	-0.0154761904761905
sz002450	19.78	19.78	19.78	NA	0
sz002451	26.2	26.2	26.2	NA	0
sz002456	20.38	19.28	19.3	0.0181818181818178	0.0274611398963729
sz002460	79	69.33	69.68	0.0361944157187186	0.0643656716417909
sz002461	10.49	10.1	10.32	0.564102564102565	-0.00242248062015504
sz002465	10.97	10.38	10.43	0.0847457627118626	0.0234899328859062
sz002466	60.15	54.68	54.82	0.0255941499085924	0.0473367384166363
sz002468	24.78	23.71	24.01	0.280373831775702	0.00978758850478956
sz002470	9.27	8.6	8.96	0.537313432835823	-0.00279017857142883
sz002475	24.23	23.12	23.95	0.747747747747747	-0.0114822546972859
sz002477	3.87	3.71	3.82	0.687499999999999	-0.00785340314136118
sz002482	8.43	7.95	8.25	0.625	-0.00727272727272732
sz002489	4.35	4.14	4.14	0	0.0253623188405796
sz002491	15.86	14.58	14.74	0.125	0.0325644504748981
sz002493	14.82	14.02	14.17	0.1875	0.0176429075511644
sz002497	13.59	12	12.03	0.0188679245283015	0.0635910224438903
sz002498	3.04	2.96	2.98	0.25	0.00671140939597326
sz002500	8.15	7.7	7.92	0.488888888888888	0.000631313131313149
sz002501	9.02	8.62	8.63	0.0250000000000039	0.0220162224797218
sz002503	4.98	4.65	4.72	0.21212121212121	0.0201271186440679
sz002505	2.59	2.51	2.56	0.625000000000003	-0.00390625000000011
sz002506	4.67	4.39	4.41	0.071428571428573	0.0272108843537413
sz002508	36.85	34.8	35.37	0.278048780487804	0.0128640090472154
sz002509	5.31	5.31	5.31	NA	0
sz002512	11.99	11.2	11.59	0.493670886075949	0.000431406384814315
sz002517	17.47	16.17	16.5	0.253846153846153	0.0193939393939395
sz002522	10.75	10.08	10.16	0.119402985074627	0.0250984251968502
sz002530	24.21	22.83	23.62	0.572463768115943	-0.00423370025402203
sz002537	11.83	11.01	11.27	0.317073170731707	0.0133096716947649
sz002542	7.87	7.31	7.37	0.107142857142858	0.0298507462686566
sz002545	8.6	7.91	7.94	0.0434782608695656	0.0396725440806043
sz002555	18.94	17.37	17.52	0.0955414012738844	0.0362442922374431
sz002558	32.56	30.7	31.17	0.252688172043012	0.0147577799165866
sz002563	10.6	10.09	10.4	0.607843137254903	-0.00528846153846163
sz002568	15.67	14.5	15.3	0.683760683760684	-0.0140522875816993
sz002572	34.55	33.01	33.33	0.207792207792208	0.0135013501350136
sz002573	15.27	14.35	14.41	0.0652173913043484	0.0277585010409438
sz002581	16.81	15.91	15.98	0.0777777777777782	0.0237797246558198
sz002583	12.26	11.6	11.63	0.0454545454545472	0.0257953568357694
sz002589	16.39	15.08	15.95	0.664122137404579	-0.0134796238244514
sz002594	56.56	53.7	54.82	0.391608391608391	0.00565487048522439
sz002595	16.65	15.75	15.82	0.0777777777777782	0.0240202275600505
sz002597	24.95	23.78	24.49	0.606837606837605	-0.00510412413229877
sz002600	7.54	6.68	6.86	0.209302325581396	0.0364431486880465
sz002601	18.42	18.42	18.42	NA	0
sz002602	34.99	33.44	34.55	0.716129032258062	-0.00969609261939197
sz002603	15.63	15.09	15.33	0.444444444444444	0.00195694716242656
sz002608	8.84	8.57	8.64	0.259259259259261	0.00752314814814814
sz002611	14	13.15	13.17	0.0235294117647054	0.030751708428246
sz002622	12.85	12.85	12.85	NA	0
sz002624	33.78	32.57	33.24	0.553719008264464	-0.00195547533092677
sz002625	28.25	25.11	26.35	0.394904458598727	0.0125237191650853
sz002635	21.78	20	20.16	0.0898876404494382	0.0362103174603174
sz002638	5.23	5.06	5.07	0.0588235294117684	0.014792899408284
sz002640	20.01	18.86	19.2	0.295652173913043	0.0122395833333335
sz002643	11.86	11.02	11.07	0.0595238095238104	0.033423667570009
sz002647	32.43	32.43	32.43	NA	0
sz002648	15.19	14.53	14.77	0.363636363636364	0.00609343263371698
sz002653	12.88	11.87	12.14	0.267326732673268	0.0193574958813838
sz002662	5.96	5.96	5.96	NA	0
sz002665	6.83	6.45	6.63	0.473684210526315	0.00150829562594268
sz002668	27.45	25.2	25.57	0.164444444444445	0.0295267892061009
sz002670	16.51	15.04	15.16	0.081632653061225	0.0405672823218997
sz002672	15.73	15.04	15.15	0.159420289855074	0.0155115511551154
sz002673	10.09	9.58	9.63	0.0980392156862759	0.0212876427829698
sz002678	10.38	10.11	10.21	0.370370370370374	0.00342801175318308
sz002680	20.26	18.89	19.65	0.554744525547443	-0.0038167938931295
sz002681	10.55	9.89	9.99	0.151515151515151	0.0230230230230231
sz002690	19.6	18.86	18.89	0.040540540540542	0.0179989412387507
sz002694	11.5	10.56	10.74	0.191489361702127	0.0270018621973931
sz002699	18.76	18.76	18.76	NA	0
sz002701	5.84	5.61	5.61	0	0.0204991087344026
sz002709	47.8	45.6	46.34	0.336363636363638	0.00776866637893825
sz002711	10.3	9.77	10.07	0.566037735849057	-0.00347567030784512
sz002714	50.89	45.74	49.71	0.770873786407767	-0.0280627640313821
sz002717	34.56	31.69	31.98	0.101045296167247	0.0358036272670419
sz002736	11.15	10.71	10.83	0.272727272727271	0.00923361034164349
sz002739	52.04	52.04	52.04	NA	0
sz002745	44.48	41.85	43.48	0.61977186311787	-0.00724471021159145
sz002759	12.14	11.43	11.5	0.0985915492957749	0.0247826086956522
sz002773	64.78	58.85	58.99	0.0236087689713323	0.0478894727919985
sz002797	8.34	7.86	7.92	0.124999999999999	0.0227272727272727
sz002807	7.26	6.98	7.08	0.357142857142857	0.00564971751412435
sz002812	128.48	119.3	120.18	0.0958605664488029	0.030870361124979
sz002815	37.6	33.99	35.41	0.393351800554015	0.010872634848913
sz002818	28.44	26.77	27.06	0.173652694610778	0.0201404286770142
sz002821	81.9	76.09	76.38	0.0499139414802051	0.0342367111809376
sz002831	53.59	50.95	52.75	0.681818181818181	-0.00909952606635067
sz002839	8.55	8.01	8.23	0.407407407407408	0.00607533414337791
sz002841	89.5	83.6	85.29	0.286440677966103	0.0147731269785436
sz002867	35.47	33.7	34.65	0.536723163841807	-0.00187590187590181
sz002901	39.97	36.52	37.6	0.313043478260869	0.017154255319149
sz300001	13.44	12.75	12.87	0.17391304347826	0.0174825174825175
sz300002	7.19	6.82	6.88	0.162162162162161	0.0181686046511629
sz300003	34.79	32.82	33.4	0.294416243654822	0.012125748502994
sz300009	28.65	26.81	26.9	0.0489130434782608	0.0308550185873606
sz300014	18.29	17.05	17.08	0.0241935483870949	0.0345433255269323
sz300015	41.57	38.9	38.9	0	0.034318766066838
sz300017	15.49	14.04	14.09	0.0344827586206901	0.0479063165365508
sz300024	22.48	20.74	21.25	0.293103448275863	0.0169411764705882
sz300026	4.16	4.04	4.07	0.250000000000002	0.00737100737100715
sz300027	9.84	9.16	9.19	0.0441176470588226	0.0337323177366704
sz300033	53.49	50.33	50.69	0.113924050632911	0.0240678634839218
sz300038	48.6	48.6	48.6	NA	0
sz300055	17.49	16.44	16.45	0.00952380952380765	0.0313069908814589
sz300058	8.11	7.55	7.56	0.0178571428571425	0.0357142857142858
sz300059	17.09	15.73	15.88	0.110294117647059	0.0333753148614608
sz300064	8.74	8.3	8.52	0.499999999999998	0
sz300068	15.77	14.67	14.73	0.054545454545455	0.0332654446707399
sz300070	18.54	17.65	17.69	0.0449438202247221	0.0228942905596381
sz300072	32.44	30.55	30.63	0.0423280423280415	0.0282402873000327
sz300083	7.67	7.05	7.2	0.241935483870968	0.0222222222222221
sz300088	7.62	7.09	7.15	0.113207547169812	0.0286713286713287
sz300090	9.24	9.24	9.24	NA	0
sz300098	15.17	13.91	14	0.0714285714285713	0.0385714285714285
sz300104	5.15	4.41	4.5	0.121621621621621	0.0622222222222222
sz300113	23.2	21.28	21.3	0.0104166666666665	0.044131455399061
sz300115	18.81	16.96	17.04	0.0432432432432424	0.0495892018779343
sz300116	6.86	5.55	5.55	0	0.118018018018018
sz300118	11.85	11.5	11.53	0.085714285714284	0.0125758889852561
sz300122	34.58	31.85	32	0.0549450549450545	0.0379687500000001
sz300124	36.49	34.13	34.34	0.088983050847458	0.028246942341293
sz300133	12.19	11.42	11.49	0.0909090909090913	0.0274151436031331
sz300134	14.65	13.52	13.54	0.0176991150442474	0.040251107828656
sz300136	37.88	34.58	34.68	0.0303030303030307	0.0446943483275664
sz300142	22.28	21.08	21.6	0.433333333333335	0.00370370370370354
sz300144	21.12	20.17	20.53	0.378947368421052	0.00560155869459344
sz300145	12.15	11.4	11.41	0.013333333333333	0.0319894829097283
sz300146	16.6	16.6	16.6	NA	0
sz300156	15.37	14.04	14.1	0.0451127819548876	0.0429078014184396
sz300159	10.66	9.89	9.98	0.116883116883117	0.0295591182364729
sz300166	18.98	17.28	17.43	0.0882352941176463	0.0401606425702812
sz300168	19.58	17.73	17.8	0.037837837837838	0.0480337078651685
sz300180	23.38	22.35	22.66	0.300970873786407	0.00904677846425428
sz300182	10.91	9.94	10.07	0.134020618556702	0.035253227408143
sz300197	11.42	10.99	11	0.0232558139534879	0.0186363636363636
sz300199	16.2	15.44	15.79	0.460526315789473	0.00189993666877775
sz300203	29.88	28.46	28.83	0.260563380281689	0.0117932708983699
sz300207	11.89	11.03	11.11	0.0930232558139534	0.0315031503150316
sz300208	11.2	10.58	10.85	0.435483870967742	0.00368663594470053
sz300222	23.7	21.26	21.3	0.0163934426229505	0.0553990610328638
sz300237	16.11	15.42	15.59	0.246376811594203	0.0112251443232843
sz300244	26.19	24.12	24.22	0.0483091787439603	0.0386044591246903
sz300251	12.92	12.12	12.17	0.0625000000000008	0.028759244042728
sz300253	12.24	11.26	11.5	0.244897959183674	0.0217391304347827
sz300257	16.66	15.94	16.4	0.638888888888887	-0.00609756097560965
sz300266	19.99	19.99	19.99	NA	0
sz300267	7.66	6.85	7.35	0.617283950617284	-0.0129251700680272
sz300271	21.34	18.99	19.04	0.0212765957446811	0.0590861344537814
sz300274	19.36	17.76	17.78	0.0124999999999998	0.0438695163104612
sz300285	21.25	19.7	19.89	0.122580645161291	0.0294117647058825
sz300287	9.84	8.98	9.01	0.0348837209302318	0.044395116537181
sz300291	11.84	11.26	11.34	0.137931034482759	0.0185185185185186
sz300294	37.45	34.27	36.52	0.707547169811321	-0.0180722891566266
sz300296	26.2	24.62	24.68	0.037974683544303	0.029578606158833
sz300297	10.55	9.83	10	0.236111111111111	0.0190000000000001
sz300308	80.32	73.14	77.85	0.655988857938718	-0.0143866409762364
sz300315	6.97	6.38	6.38	0	0.0462382445141065
sz300316	24.76	22.44	22.92	0.206896551724138	0.0296684118673647
sz300317	11.9	11.9	11.9	NA	0
sz300323	20.79	18.76	19.01	0.123152709359606	0.040241977906365
sz300324	19.45	17.88	17.9	0.0127388535031844	0.0427374301675978
sz300347	55.01	50.5	50.9	0.0886917960088689	0.0364440078585462
sz300355	10.87	10.31	10.46	0.267857142857144	0.0124282982791586
sz300367	19.09	17.33	17.54	0.119318181818182	0.0381984036488028
sz300376	7.5	7.02	7.23	0.437500000000001	0.00414937759336098
sz300383	19.1	17.11	17.5	0.195979899497488	0.0345714285714287
sz300408	24.52	22.63	23.29	0.349206349206349	0.0122370115929584
sz300418	26.94	22.75	22.8	0.0119331742243438	0.0896929824561403
sz300432	16	15.07	15.12	0.0537634408602139	0.02744708994709
sz300433	26.01	23.64	23.73	0.0379746835443037	0.0461441213653604
sz300450	78.86	70	71	0.112866817155756	0.0483098591549296
sz300459	12.97	12.13	12.23	0.119047619047619	0.0261651676206052
sz300463	25.98	24.41	24.52	0.0700636942675155	0.0275285481239804
sz300474	61.99	56.76	58.19	0.273422562141491	0.0203643237669704
sz300482	71.6	65.11	69.69	0.705701078582435	-0.0191562634524323
sz300496	39.85	34.5	34.61	0.0205607476635513	0.0741115284599827
sz300498	22.59	21.13	22.1	0.664383561643837	-0.0108597285067874
sz300529	40.5	37.28	39.78	0.776397515527951	-0.0223730517848165
sz300558	70.79	65.5	65.5	0	0.040381679389313
sz300601	68.21	62	65.28	0.528180354267311	-0.0026807598039218
sz300616	217.6	203	204.8	0.123287671232878	0.02685546875
sz300618	297.87	263.29	278.17	0.430306535569694	0.00866376676133318
sz300628	135.4	121.71	129.83	0.593133674214756	-0.00982053454517451
sz300676	177.77	166.88	169.3	0.222222222222223	0.0178676904902539
sz300679	90.29	85.51	86.61	0.230125523012551	0.0148943540006927
sz300699	60.8	56.2	57.44	0.269565217391304	0.0184540389972145
sz399001	10950.22	10667.33	10684.56	0.060907066350877	0.0116256542150543
sz399006	1918.22	1834.67	1836.81	0.0256134051466173	0.0215781708505507
