V1	cummax	cummin	C	perc	potential
sz000021	9.12	8.45	8.48	0.0447761194029868	0.0359669811320755
sz000022	24.14	24.14	24.14	NA	0
sz000025	37.6	36	36.75	0.46875	0.00136054421768694
sz000027	6.02	5.76	5.78	0.0769230769230788	0.0190311418685121
sz000028	61.37	56.9	60.33	0.767337807606264	-0.0198077241836565
sz000031	8	8	8	NA	0
sz000034	21.6	21.6	21.6	NA	0
sz000039	16.78	16.08	16.14	0.0857142857142886	0.0179677819083024
sz000040	11.94	11.49	11.65	0.355555555555556	0.00557939914163086
sz000046	7.92	7.92	7.92	NA	0
sz000050	16.51	15.61	15.74	0.144444444444445	0.020330368487929
sz000056	13.27	13.27	13.27	NA	0
sz000059	9.16	8.82	9.03	0.617647058823527	-0.00442967884828338
sz000060	9.76	9.37	9.46	0.230769230769235	0.0110993657505285
sz000061	7.57	7.12	7.53	0.911111111111111	-0.0245683930942895
sz000062	20.33	18.88	18.91	0.0206896551724146	0.0367530407191961
sz000063	31.3	29.76	29.99	0.149350649350647	0.0180060020006669
sz000066	9.02	8.13	8.26	0.146067415730336	0.0381355932203389
sz000069	8.42	7.91	7.91	0	0.0322376738305941
sz000078	6.15	5.91	6.07	0.666666666666667	-0.00658978583196046
sz000088	7.51	7.07	7.51	1	-0.029294274300932
sz000089	8.5	7.95	8.03	0.145454545454544	0.0242839352428394
sz000090	9.92	9.43	9.47	0.0816326530612263	0.0216473072861669
sz000100	3.54	3.42	3.44	0.166666666666667	0.0116279069767442
sz000150	28.73	27.66	28.48	0.766355140186916	-0.0100070224719101
sz000155	7.43	6.83	7.03	0.333333333333334	0.0142247510668563
sz000156	11.4	11.4	11.4	NA	0
sz000157	4.25	4.17	4.2	0.375000000000003	0.00238095238095237
sz000158	8.31	7.84	7.9	0.127659574468086	0.0221518987341771
sz000166	5.05	4.9	4.9	0	0.0153061224489794
sz000333	55	52.06	53.01	0.323129251700679	0.00980946991133758
sz000338	8.8	8.27	8.57	0.566037735849057	-0.00408401400233371
sz000400	11.37	10.92	10.96	0.0888888888888911	0.0168795620437956
sz000401	14.62	13.45	13.49	0.034188034188035	0.0404002965159378
sz000402	9.87	9.47	9.48	0.0249999999999996	0.020042194092827
sz000408	17.13	16.41	16.66	0.347222222222223	0.00660264105642261
sz000413	7.94	7.5	7.52	0.0454545454545444	0.0265957446808511
sz000415	5.84	5.84	5.84	NA	0
sz000418	67.98	63.51	66.6	0.691275167785233	-0.0128378378378377
sz000423	62.49	60.5	61.82	0.663316582914572	-0.00525719831769644
sz000425	4.03	3.88	3.89	0.0666666666666681	0.0167095115681233
sz000426	9.98	9.44	9.49	0.0925925925925938	0.0231822971549001
sz000429	7.99	7.78	7.79	0.0476190476190466	0.0121951219512195
sz000488	17.38	16.46	16.77	0.33695652173913	0.00894454382826493
sz000501	15.32	14.67	14.82	0.230769230769231	0.011808367071525
sz000503	44.33	39.47	42.31	0.584362139917696	-0.00969038052469873
sz000513	75.46	71	72.44	0.322869955156951	0.0109055770292654
sz000517	4.38	4.04	4.06	0.0588235294117635	0.0369458128078819
sz000519	9.28	8.88	9.09	0.525	-0.00110011001100108
sz000525	22.55	21.58	22.04	0.474226804123711	0.00113430127041725
sz000536	4.18	3.96	4.02	0.272727272727271	0.0124378109452739
sz000538	99.43	95	95.88	0.19864559819413	0.0139236545682104
sz000539	4.54	4.44	4.45	0.0999999999999982	0.00898876404494375
sz000540	7.35	7.35	7.35	NA	0
sz000547	12.35	10.53	11.58	0.576923076923077	-0.0120898100172712
sz000550	15.07	14.24	14.27	0.0361445783132522	0.0269796776454101
sz000553	14.3	13.73	13.78	0.0877192982456121	0.0170537010159653
sz000555	17.97	15.64	16.06	0.180257510729613	0.0463885429638855
sz000559	9.18	8.6	8.68	0.137931034482759	0.024193548387097
sz000560	7.91	7.64	7.66	0.0740740740740757	0.0150130548302871
sz000563	3.99	3.84	3.91	0.466666666666667	0.00127877237851659
sz000564	4.78	4.78	4.78	NA	0
sz000566	12.89	12.89	12.89	NA	0
sz000568	62.5	56.04	60.71	0.722910216718266	-0.023719321363861
sz000581	23.18	21.78	23.05	0.907142857142858	-0.0247288503253796
sz000582	8.88	8.25	8.71	0.730158730158731	-0.0166475315729047
sz000587	7.3	7	7.2	0.666666666666668	-0.00694444444444442
sz000591	4.92	4.71	4.86	0.714285714285716	-0.00925925925925941
