D,T,O,H,L,C,V
2/9/2017,1353,3176.36,3176.71,3175.88,3176.55,67629
2/9/2017,1354,3176.52,3176.52,3175.5,3175.9,58426
2/9/2017,1355,3176.16,3176.23,3175.6,3176.16,60547
2/9/2017,1356,3175.79,3176.36,3175.63,3175.63,51185
2/9/2017,1357,3176.39,3176.6,3175.58,3176.5,57137
2/9/2017,1358,3175.76,3176.12,3175.48,3175.81,53937
2/9/2017,1359,3175.98,3176.77,3175.68,3176.41,57178
2/9/2017,1400,3176.55,3176.56,3175.65,3175.65,58882
2/9/2017,1401,3175.86,3176.55,3175.75,3175.94,54591
2/9/2017,1402,3175.8,3176.47,3175.34,3175.8,57687
2/9/2017,1403,3175.74,3175.95,3174.8,3175.53,58892
2/9/2017,1404,3175.75,3176.16,3174.57,3174.57,64923
2/9/2017,1405,3175.57,3175.57,3174.17,3174.33,68552
2/9/2017,1406,3175.1,3175.1,3173.57,3174.04,75461
2/9/2017,1407,3174.29,3174.37,3173.52,3173.56,70013
2/9/2017,1408,3173.45,3174.21,3173.15,3173.67,65301
2/9/2017,1409,3173.76,3173.82,3172.97,3173.44,63255
2/9/2017,1410,3173.47,3174.03,3172.82,3173.27,57012
2/9/2017,1411,3173.17,3173.69,3172.59,3173.24,53885
2/9/2017,1412,3173.3,3174.07,3172.59,3172.96,58574
2/9/2017,1413,3174.14,3174.14,3172.98,3173.38,54206
2/9/2017,1414,3173.99,3174.71,3173.44,3174.71,57486
2/9/2017,1415,3174.07,3175,3174.07,3174.55,60355
2/9/2017,1416,3175.15,3176.07,3174.97,3176.03,59057
2/9/2017,1417,3176.27,3176.27,3175.69,3176.08,56516
2/9/2017,1418,3175.93,3176.38,3175.45,3175.47,51439
2/9/2017,1419,3175.95,3176.25,3175.81,3176.25,53069
2/9/2017,1420,3176.02,3176.21,3175.39,3175.78,48332
2/9/2017,1421,3175.81,3175.81,3174.87,3175.4,44987
2/9/2017,1422,3175.46,3175.75,3174.59,3175.3,55433
2/9/2017,1423,3175.56,3175.56,3174.29,3174.75,55097
2/9/2017,1424,3174.97,3174.97,3174.24,3174.81,49867
2/9/2017,1425,3174.76,3175.16,3174.23,3174.62,50305
2/9/2017,1426,3175.2,3175.6,3174.79,3175.6,54029
2/9/2017,1427,3175.12,3175.41,3174.71,3175.36,50736
2/9/2017,1428,3175.63,3175.84,3174.92,3175.29,57506
2/9/2017,1429,3175.89,3175.89,3174.75,3175.37,56973
2/9/2017,1430,3175.54,3175.97,3175.09,3175.5,57843
2/9/2017,1431,3175.44,3175.56,3174.88,3175.1,57823
2/9/2017,1432,3174.93,3176.33,3174.93,3175.74,56408
2/9/2017,1433,3176.46,3176.83,3175.53,3176.82,66889
2/9/2017,1434,3176.66,3177.59,3176.59,3177.59,68934
2/9/2017,1435,3177.44,3178.06,3177.21,3177.94,71935
2/9/2017,1436,3178.51,3179.42,3178.51,3179.22,77065
2/9/2017,1437,3179.42,3180.38,3178.93,3180.38,80509
2/9/2017,1438,3180.08,3180.77,3179.78,3180.51,72094
2/9/2017,1439,3180.37,3181.4,3180.37,3181.27,71961
2/9/2017,1440,3181.46,3181.77,3181.1,3181.24,76732
2/9/2017,1441,3181.18,3181.57,3180.9,3181.25,74003
2/9/2017,1442,3181.3,3181.61,3180.71,3181.52,79708
2/9/2017,1443,3181.56,3181.56,3180.48,3180.48,80478
2/9/2017,1444,3180.78,3181.19,3180.34,3180.6,80984
2/9/2017,1445,3180.88,3181.22,3179.82,3180.88,75485
2/9/2017,1446,3180.12,3181.36,3180.12,3181.36,81182
2/9/2017,1447,3181.53,3181.67,3180.51,3180.66,73070
2/9/2017,1448,3180.78,3181.73,3180.64,3181.12,94809
2/9/2017,1449,3180.75,3181.55,3180.6,3180.97,83053
2/9/2017,1450,3181.36,3181.59,3180.64,3181.16,97668
2/9/2017,1451,3181.4,3181.4,3180.53,3181.12,99098
2/9/2017,1452,3181.5,3181.5,3180.44,3181.31,102804
2/9/2017,1453,3181.11,3181.27,3180.25,3181.25,119149
2/9/2017,1454,3181.03,3181.33,3180.51,3180.87,116018
2/9/2017,1455,3181.17,3181.82,3180.54,3181.82,125494
2/9/2017,1456,3181.25,3181.56,3180.3,3181.29,134735
2/9/2017,1457,3181.63,3182.01,3181.07,3181.91,141877
2/9/2017,1458,3181.74,3182.52,3181.6,3182.52,151212
2/9/2017,1459,3182.65,3183.04,3182.18,3182.38,176483
2/9/2017,1500,3183.19,3183.79,3182.11,3183.17,223906
2/10/2017,931,3183.01,3184.66,3183.01,3184.13,434597
2/10/2017,932,3184.33,3184.5,3183.67,3184.18,187963
2/10/2017,933,3184.02,3184.41,3183.28,3184.06,165606
2/10/2017,934,3183.25,3185.31,3183.25,3185.19,163709
2/10/2017,935,3184.58,3186.03,3184.58,3186.03,175592
2/10/2017,936,3185.99,3186.87,3185.67,3186.42,178637
2/10/2017,937,3187.17,3187.94,3186.73,3187.94,173520
2/10/2017,938,3187.52,3188.19,3187.18,3188.06,162567
2/10/2017,939,3187.87,3188.36,3187.06,3187.06,162313
2/10/2017,940,3187.1,3187.33,3186.28,3186.67,157336
2/10/2017,941,3187.08,3187.28,3186.37,3187.04,147519
2/10/2017,942,3187.38,3189.04,3187.01,3189.04,156582
2/10/2017,943,3189.06,3190.3,3189.06,3190.3,170657
2/10/2017,944,3190,3190.7,3189.76,3190.46,162575
2/10/2017,945,3190.3,3191.04,3189.89,3190.83,153585
2/10/2017,946,3190.82,3191.6,3190.19,3190.88,150676
2/10/2017,947,3191.2,3191.83,3190.57,3191.83,157340
2/10/2017,948,3191.7,3191.99,3191.22,3191.99,147619
2/10/2017,949,3192.2,3192.33,3191.51,3191.77,165957
2/10/2017,950,3192.16,3192.36,3191.2,3191.34,169950
2/10/2017,951,3191.13,3191.75,3190.95,3190.99,156936
2/10/2017,952,3190.48,3191.34,3190,3190,155743
2/10/2017,953,3190.27,3190.86,3189.8,3190.04,150123
2/10/2017,954,3190.2,3190.35,3189.38,3189.38,158795
2/10/2017,955,3188.82,3189.66,3188.19,3188.19,147492
2/10/2017,956,3187.99,3188.52,3187.41,3188.26,147899
2/10/2017,957,3187.8,3188.22,3187.2,3187.24,130835
2/10/2017,958,3187.68,3188.09,3187.11,3187.11,118333
2/10/2017,959,3187.58,3187.86,3187.12,3187.58,115753
2/10/2017,1000,3187.13,3187.74,3187.12,3187.29,111799
2/10/2017,1001,3187.19,3187.92,3186.4,3186.77,126414
2/10/2017,1002,3186.26,3186.64,3185.75,3186.53,115879
2/10/2017,1003,3185.49,3186.25,3184.74,3185.49,135466
2/10/2017,1004,3184.86,3185.44,3184.73,3184.99,126719
2/10/2017,1005,3184.71,3185.88,3184.71,3185.3,126244
2/10/2017,1006,3185.12,3186.77,3185.12,3186.76,121009
2/10/2017,1007,3186.04,3187.65,3186.04,3187.58,115832
2/10/2017,1008,3187.78,3188.88,3187.78,3188.42,112411
2/10/2017,1009,3188.31,3188.91,3188.12,3188.23,106004
2/10/2017,1010,3187.91,3188.92,3187.84,3188.58,101448
2/10/2017,1011,3188.5,3189.16,3188.03,3188.14,91723
2/10/2017,1012,3188.68,3189.55,3188.3,3188.32,93395
2/10/2017,1013,3188.64,3189.64,3188.39,3189.18,93214
2/10/2017,1014,3189.18,3190.15,3189.13,3189.93,99717
2/10/2017,1015,3189.99,3190.58,3189.78,3190.1,95988
2/10/2017,1016,3190.7,3191.04,3189.97,3189.97,97604
2/10/2017,1017,3190.41,3191.31,3190.41,3190.66,94200
2/10/2017,1018,3191,3191.73,3190.77,3191.66,94334
2/10/2017,1019,3191.75,3191.94,3191.15,3191.94,104225
2/10/2017,1020,3191.76,3192.28,3191.26,3191.26,101788
2/10/2017,1021,3191.67,3192.6,3191.67,3192.6,97092
2/10/2017,1022,3192.65,3192.91,3191.6,3192.15,104953
2/10/2017,1023,3193.05,3193.11,3192.31,3192.86,115768
2/10/2017,1024,3193.02,3194.34,3192.74,3193.86,118999
2/10/2017,1025,3193.57,3194.83,3193.36,3194.41,106736
2/10/2017,1026,3194.11,3194.34,3193.64,3193.92,100165
2/10/2017,1027,3194.53,3195.07,3193.62,3195.07,121930
2/10/2017,1028,3194.98,3195.34,3194,3194.49,98475
2/10/2017,1029,3194.55,3195.09,3194.2,3194.3,104468
2/10/2017,1030,3194.46,3195.14,3193.99,3194.09,112122
2/10/2017,1031,3194.64,3195.11,3194.02,3194.51,99699
2/10/2017,1032,3194.77,3195.21,3194.3,3195.21,96379
2/10/2017,1033,3194.26,3195.46,3194.24,3195.09,97338
2/10/2017,1034,3195.13,3195.37,3194.47,3194.66,100025
2/10/2017,1035,3194.83,3195.26,3193.97,3193.97,100332
2/10/2017,1036,3193.89,3194.84,3193.52,3193.97,102386
2/10/2017,1037,3194.25,3194.59,3193.09,3193.09,109084
2/10/2017,1038,3193.52,3194.42,3193.52,3194.19,97566
2/10/2017,1039,3194.23,3194.72,3193.96,3194.72,93449
2/10/2017,1040,3194.5,3194.87,3194.22,3194.86,101339
2/10/2017,1041,3194.5,3195.45,3194.23,3195.37,112065
2/10/2017,1042,3195.25,3196.41,3195.25,3196.41,123214
2/10/2017,1043,3196.33,3197.52,3196.29,3196.78,137397
2/10/2017,1044,3197.42,3198.3,3197.1,3198.3,129562
2/10/2017,1045,3197.85,3198.49,3197.07,3197.07,113392
2/10/2017,1046,3196.98,3198.05,3196.53,3197.83,109847
2/10/2017,1047,3197.75,3198.64,3196.99,3198.5,125118
2/10/2017,1048,3198.15,3199.34,3197.92,3198.83,135552
2/10/2017,1049,3198.65,3199.44,3198.07,3198.07,137209
2/10/2017,1050,3198.29,3198.54,3197.31,3197.31,121222
2/10/2017,1051,3197.55,3197.58,3196.06,3196.28,121179
2/10/2017,1052,3196.57,3196.57,3194.82,3195.27,118985
2/10/2017,1053,3195.01,3195.02,3194.07,3194.2,133334
2/10/2017,1054,3193.92,3194.03,3193.28,3193.66,108722
2/10/2017,1055,3193.1,3193.84,3193.1,3193.64,106853
2/10/2017,1056,3193.24,3194.46,3192.98,3193.99,90440
2/10/2017,1057,3194.14,3194.23,3193.56,3193.69,88404
2/10/2017,1058,3193.55,3194.09,3192.8,3193.73,104873
2/10/2017,1059,3193.31,3194.27,3192.7,3193.72,91109
2/10/2017,1100,3193.75,3194.09,3192.99,3193.23,87103
2/10/2017,1101,3193.47,3193.75,3192.23,3192.44,80186
2/10/2017,1102,3193.03,3193.06,3191.35,3192.16,89126
2/10/2017,1103,3191.54,3192.08,3190.68,3191.09,95091
2/10/2017,1104,3190.54,3191.15,3190.13,3190.79,103427
2/10/2017,1105,3190.47,3191.31,3190.47,3190.63,91230
2/10/2017,1106,3190.59,3191.36,3190.5,3191.16,81830
2/10/2017,1107,3190.66,3192.16,3190.56,3190.79,77441
2/10/2017,1108,3191.4,3192.12,3191.28,3191.78,66310
2/10/2017,1109,3191.42,3192.46,3190.91,3192.01,65208
2/10/2017,1110,3192.41,3192.57,3191.8,3191.8,64398
2/10/2017,1111,3192.05,3192.77,3191.79,3192.06,61499
2/10/2017,1112,3192.71,3192.77,3192.05,3192.28,62749
2/10/2017,1113,3192.37,3193.2,3192.37,3192.84,60726
2/10/2017,1114,3193.11,3193.42,3192.68,3193.42,59475
2/10/2017,1115,3193.08,3193.75,3192.95,3193.08,69509
2/10/2017,1116,3193.43,3194.1,3192.81,3194.1,70369
2/10/2017,1117,3194.15,3194.26,3193.47,3193.78,71195
