sh600340,31.84,31.53
sh600582,4.1,4.12
sh603612,15.18,15.56
sh603858,29.58,30.09
sz000630,2.66,2.68
sz000876,12.93,13.06
sz002812,64.65,64.1
QTT,13.7,13.57
sz002815,17.33,17.14
sz000878,10.56,10.64
sh600109,10.19,10.3
sz002818,25.4,25.56
sh600348,5.99,6.06
sh600104,26.6,26.35
sh600588,34.9,34.79
sh600346,17.52,17.32
sh600585,36.25,36.27
sh600100,12.01,11.85
sh600584,14.3,14.28
sh600352,11.58,11.47
sh601200,16.93,16.32
sh600110,5.18,5.15
sh600350,4.98,4.98
sh601688,22.99,23.36
sh601689,20.8,20.43
sh603866,57.04,56.97
sh603868,44.88,45.29
sh603626,10.38,10.19
sz000400,11.28,11.38
sz000883,4.24,4.23
sz000881,9.65,9.15
sz000887,12.76,12.87
sz000402,8.26,8.38
sz000401,16.97,17.21
sz002821,92.41,96.3
sz000408,12.74,12.85
sz001979,21.88,22.25
sh600118,26.18,25.4
sh600115,6.35,6.35
sh600598,9.53,9.62
sh600597,9.92,10.05
sh600111,11.89,11.87
sh601211,19.61,19.75
sh600362,15.95,16.06
sh601212,4.63,4.62
sh600120,17.75,17.67
sh601699,8.11,8.2
sh601216,4.15,4.12
sh603877,20.15,20.5
sz000895,25.58,25.81
sz002831,56.8,57.75
sz000651,47.21,47.9
WB,62.54,62.83
sz000415,4.69,4.66
sz000898,5.96,6.05
sz000656,6.41,6.33
sz000413,6.36,6.33
sz002839,7.11,7.02
sz000418,57.28,57.47
sh600369,5.37,5.41
sh600126,5.26,5.39
sh600125,8.44,8.45
sh603885,13.76,13.66
sh601222,6.06,6.13
sh600373,16.24,15.65
sh600372,17.31,16.96
sh601225,8.89,9.0
sh603888,22.35,21.68
sh601228,4.92,4.93
sh601229,12.18,12.22
sz002600,6.43,6.33
sz002841,76.3,76.95
sz000662,7.67,7.62
sz000661,293.99,302.0
sz000426,6.82,6.79
sz000425,4.49,4.58
sz002603,12.93,13.08
sz002602,19.67,19.29
sz000666,13.98,13.99
sz000423,49.3,49.9
sz002601,15.42,15.74
sz002608,9.9,9.72
sz000429,8.85,8.87
sh600138,16.48,16.47
sh600377,9.96,9.94
sh600376,9.57,9.62
sh603883,64.18,64.72
sh603882,29.81,30.96
sz002690,26.07,26.69
sh603019,62.09,59.6
sz002210,4.13,4.22
sz002694,5.34,5.17
sz002451,13.07,13.3
sz002450,6.67,6.35
sz000031,6.12,6.2
BIDU,171.3,171.17
sz002699,7.16,7.13
sz002456,13.86,13.88
sz000034,15.12,15.07
sz002212,17.5,17.39
sz002219,4.02,4.1
hk1293,2.38,2.08
sz002217,7.5,7.51
sz000039,13.89,14.14
sz002460,30.53,31.46
sz000040,8.87,8.9
sz002221,9.88,9.62
sh510050,2.79,2.812
sz002461,6.07,6.1
sz002468,23.23,22.52
sz002466,38.7,38.99
sz000046,7.28,7.06
sz002465,9.94,9.9
sz002223,24.06,24.6
sh601088,20.51,20.7
sh603025,12.02,11.89
sz000050,16.67,16.34
sz002470,7.99,8.17
sz002475,23.64,23.58
sz002230,37.22,36.29
sz002236,17.44,17.43
sz000059,7.24,7.1
sz000056,6.58,6.45
sz002477,2.67,2.85
sz002239,2.79,2.81
hk3690,52.7,55.35
sh601098,13.2,13.09
sh601099,4.13,4.18
sz000061,6.09,6.09
sz002482,6.45,6.53
sz000062,21.16,21.13
sz000060,5.13,5.18
sz002244,4.75,4.67
sz002002,5.7,5.52
sz002001,18.82,19.75
sz000066,9.06,8.24
sz000063,29.03,29.19
sz002242,22.3,22.93
sz002241,9.95,9.81
sz000069,7.15,7.18
sz002489,3.54,3.49
sz002247,5.23,5.17
sz002004,5.58,5.6
sz002008,43.13,43.38
sz002007,44.46,45.12
sz002249,5.6,5.28
sh603288,78.14,79.88
sz300098,9.81,9.91
sh600185,5.13,5.12
sh603699,12.54,12.27
sh600183,11.97,11.81
sh603218,25.31,24.97
sh600180,9.86,10.33
sz002413,7.42,7.33
sz002411,20.6,20.71
sz002653,12.5,12.85
sh000300,3833.9626,3851.7479
sz002410,29.46,29.48
sz002415,36.18,36.51
sz002414,28.53,27.9
sz002419,13.37,13.3
sh600188,10.68,10.87
sh601288,3.74,3.75
sh603225,21.51,21.72
sh600198,10.56,10.08
sh600196,30.14,30.62
sz002662,5.1,5.16
sh603228,65.25,66.63
sz300088,6.14,6.16
sz000488,6.94,6.99
sz002424,10.38,10.32
sz002665,3.57,3.57
sz000001,12.79,12.91
sz002422,25.9,25.79
sz000002,29.15,29.37
sz002421,5.04,5.0
EEM,43.6,43.56
sz000008,4.59,4.59
sz002426,3.77,3.76
sz002668,6.3,6.33
sz000006,6.5,6.71
sz000009,6.57,6.51
sz002429,3.16,3.15
ADBE,257.88,257.76
sz300090,2.58,2.56
sz002673,10.91,11.1
sz002431,4.86,4.85
sz002672,12.58,12.6
sz002670,13.12,13.15
sz002434,7.05,7.12
sz000012,5.6,5.65
sz002439,28.8,28.08
sz000018,3.03,3.02
sz002437,5.59,5.21
sz000016,5.94,5.65
sz002678,7.11,7.18
sh603233,46.69,46.9
sz002680,1.51,1.51
sh601069,15.04,14.79
sz000021,8.44,8.19
sz000022,16.46,16.46
sz002440,11.99,11.75
sz002681,5.19,5.16
sz000025,33.09,33.36
sz002203,8.6,8.59
sz002445,2.2,2.16
sz002202,14.68,14.99
sz002444,12.5,12.32
sz000027,6.51,6.5
sz000028,49.26,49.65
sh603000,27.91,26.36
sz002294,26.04,26.13
FTSEA50,0.0,11426.68
sz002051,15.54,16.01
sz002050,16.3,16.59
sz002292,9.31,8.46
sz002299,26.96,25.97
sz002056,7.32,7.29
sh600708,5.12,5.2
sh600705,5.85,5.82
sh600704,5.76,5.8
sh600703,15.56,15.45
sh600702,29.92,30.95
sh600701,2.68,2.69
BILI,18.48,18.5
sz300180,14.5,14.57
sz300182,6.29,5.83
sz300166,15.78,15.69
sh601800,12.75,12.96
sz300168,15.14,15.08
sz002065,8.97,8.8
sh601801,8.12,8.06
SGXA50PR,0.0,0.0
sh600958,11.93,12.02
sh600959,5.52,5.49
sh601808,9.98,10.03
sh600718,14.97,14.76
sh600717,8.62,8.55
sh600715,5.38,5.35
XOM,81.1,81.08
XOP,30.54,30.49
sh600711,6.35,6.44
sz002075,10.53,10.81
sz002074,18.37,18.74
sz300197,4.72,4.75
sz300199,11.16,11.38
sz002078,7.14,7.3
sh600963,4.83,4.84
sh601811,14.8,14.77
sh600967,11.98,11.62
sh601818,4.18,4.22
sh600728,11.89,11.27
sz002081,10.99,11.26
sz002080,14.07,14.1
sz002085,8.58,8.73
sh600970,7.8,7.72
sh600977,18.02,18.27
sh600978,4.82,4.81
sz000902,10.82,10.9
sz000901,14.87,14.55
sh600739,14.75,14.81
sh600737,9.25,9.31
sz002092,9.78,9.81
sz002091,6.95,7.07
sz002493,12.1,12.09
sz002251,9.66,9.49
sz002491,11.64,11.46
sz002013,7.98,7.45
sz300133,8.56,8.38
sz002497,8.75,8.8
sz002252,9.76,9.94
sz002010,8.34,8.51
sz300376,6.08,6.14
sz300134,15.77,15.83
sh600900,16.94,16.75
sz300136,30.49,29.78
sz000078,4.53,4.59
sz002498,3.37,3.22
sz002019,14.48,14.04
sz002018,1.31,1.3
sz002262,13.24,13.47
BABA,181.84,181.83
ASHR,0.0,0.0
sz002024,12.48,12.55
sz300122,51.0,50.97
sz000088,6.57,6.52
sz300124,26.85,26.65
sz002028,12.98,12.93
sz002027,6.81,6.99
sz300367,12.39,12.43
sz000089,9.58,9.7
sz002268,31.85,31.45
sh600917,7.66,7.46
sh600908,6.77,6.82
sh600909,6.94,6.95
sz000090,6.33,6.38
sz002273,14.02,14.25
